"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma1_bpssliu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161605","ma1","ma1","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma1_bpssliu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161610","ma1","ma1","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161623","ma3","ma2","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma2_bpssliu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161640","ma2","ma3","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma2_bpssliu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161652","ma2","ma3","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma4_bpssliu_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161658","ma4","ma4","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma2_bpssliu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161702","ma2","ma2","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161707","ma3","ma3","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma4_bpssliu_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161717","ma4","ma4","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma4_bpssliu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161726","ma4","ma3","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161737","ma3","[don't know]","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma4_bpssliu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161741","ma4","ma4","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma1_bpssliu_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161745","ma1","ma1","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma1_bpssliu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161749","ma1","ma1","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma2_bpssliu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161752","ma2","ma2","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161756","ma3","[don't know]","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma4_bpssliu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161759","ma4","ma4","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161803","ma3","[don't know]","","sliu"
"/Users/zhaomengxuan/Documents/bubble noise/sliu-zhe_shi_ma_zi/bpssliu/ma3_bpssliu_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20181128T161808","ma3","ma3","","sliu"
