"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104706","ma3","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104709","ma4","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104721","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104724","ma4","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104731","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104734","ma4","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104737","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104741","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104744","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104747","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104751","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104758","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104801","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104806","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104809","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104814","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104818","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104822","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104825","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104829","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104832","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104835","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104838","ma4","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_006.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104841","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104845","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104848","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104851","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104855","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_007.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104901","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104904","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104907","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_008.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104909","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104912","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104918","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104921","ma4","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104924","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104927","ma4","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_012.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104929","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104932","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104940","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104942","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_009.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104946","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_010.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104949","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104953","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_011.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104956","ma3","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_012.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T104959","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_012.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105002","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_012.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105005","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_013.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105008","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_013.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105010","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_014.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105013","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_013.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105017","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_013.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105021","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_014.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105024","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_014.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105027","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_014.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105029","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_015.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105035","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_015.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105038","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_015.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105041","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_016.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105044","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_015.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105047","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_016.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105050","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_016.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105053","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_016.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105056","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_017.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105059","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_017.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105102","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_018.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105106","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_018.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105109","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_017.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105112","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_017.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105115","ma4","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_019.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105117","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_018.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105120","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_019.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105123","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_018.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105127","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_019.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105131","ma4","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_019.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105133","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_020.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105136","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_020.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105139","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_020.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105142","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_020.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105145","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_021.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105148","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_022.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105150","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_021.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105153","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_021.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105156","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_023.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105200","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_022.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105203","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_023.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105207","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_022.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105213","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_021.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105216","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_024.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105218","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_023.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105221","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_022.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105224","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_024.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105227","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_023.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105230","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_024.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105235","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_024.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105238","ma4","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_025.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105241","ma1","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_025.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105245","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_025.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105248","ma4","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_026.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105251","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_025.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105253","ma3","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_026.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105256","ma3","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_027.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105259","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_026.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105302","ma1","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_027.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105304","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_027.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105311","ma3","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_026.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105314","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma1_bpsgge_snr-25_028.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105316","ma1","ma1","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma3_bpsgge_snr-25_028.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105319","ma3","ma3","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_028.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105322","ma4","ma4","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_027.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105325","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_028.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105328","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_029.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105331","ma2","ma2","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma2_bpsgge_snr-25_030.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105334","ma2","[don't know]","","gge"
"/Users/zhaomengxuan/Documents/bubble noise/gge-zhe_shi_ma_zi/bpsgge/ma4_bpsgge_snr-25_029.wav","ma1","ma2","ma3","ma4","[don't know]","20180930T105337","ma4","ma4","","gge"
