"Intput.file1","Input.word11","Input.word12","Input.word13","Input.word14","Input.word15","Timestamp","Input.rightAnswer1","Answer.wordchoice1","RejectionTime","WorkerId"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma4_bpsyguo_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114518","ma4","ma4","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma4_bpsyguo_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114522","ma4","ma4","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma3_bpsyguo_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114525","ma3","ma3","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma2_bpsyguo_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114528","ma2","ma2","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma1_bpsyguo_snr-25_001.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114531","ma1","ma1","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma2_bpsyguo_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114534","ma2","ma2","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma3_bpsyguo_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114537","ma3","ma3","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma1_bpsyguo_snr-25_002.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114540","ma1","ma1","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma3_bpsyguo_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114543","ma3","ma3","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma1_bpsyguo_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114546","ma1","ma1","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma4_bpsyguo_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114549","ma4","ma4","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma1_bpsyguo_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114552","ma1","ma1","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma2_bpsyguo_snr-25_003.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114554","ma2","ma3","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma2_bpsyguo_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114557","ma2","ma2","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma3_bpsyguo_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114600","ma3","ma2","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma4_bpsyguo_snr-25_004.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114604","ma4","ma4","","yguo"
"/Users/zhaomengxuan/Documents/bubble noise/yguo-zhe_shi_ma_zi/bpsyguo/ma3_bpsyguo_snr-25_005.wav","ma1","ma2","ma3","ma4","[don't know]","20181105T114606","ma3","ma3","","yguo"
